Date,District,Total_Fish_Landing_Tonnes,Indian_Mackerel_Tonnes,Oil_Sardine_Tonnes,Horse_Mackerel_Tonnes,Lesser_Sardine_Tonnes,Sea_Surface_Temperature_C,Wave_Height_m,Wave_Period_s,Wind_Speed_mps,Salinity_PSU,Dissolved_Oxygen_mg_L,pH_Level,Air_Pressure_hPa,Chlorophyll_a_mg_m3
2019-05-10,Raigad,4982.54,442.62,170.0,606.05,178.1,31.97,2.8,4.45,10.03,34.13,5.0,8.22,1013.22,0.932
2019-07-10,Mumbai,2038.73,1165.84,664.32,498.16,614.4,24.99,3.75,6.62,13.07,35.58,5.38,7.55,1010.6,1.877
2019-10-10,Mumbai,1219.13,180.11,597.34,144.5,115.28,25.49,2.7,3.33,12.02,33.12,5.76,8.47,1010.12,1.237
2019-12-10,Thane,2807.97,1196.39,872.91,394.56,625.93,30.09,1.73,4.37,14.28,34.02,7.53,7.73,1006.16,0.8
2019-10-28,Thane,938.22,238.22,933.37,497.69,28.42,25.92,3.23,8.4,7.06,36.85,6.12,7.54,1013.96,2.342
2019-03-11,Raigad,1982.48,968.33,492.25,642.92,159.93,31.29,3.41,8.49,11.4,35.91,7.65,8.34,1011.19,1.062
2019-09-11,Raigad,4208.99,551.74,324.12,432.73,118.6,25.84,0.83,4.51,14.21,34.68,5.48,8.08,1014.91,1.599
2019-12-11,Ratnagiri,4316.68,180.71,283.51,137.39,454.87,24.96,2.6,3.79,10.98,33.45,7.54,8.44,1012.46,0.874
2019-11-18,Palghar,4617.05,1100.35,665.11,547.05,573.9,30.32,3.7,7.93,2.77,36.55,5.3,8.15,1009.39,0.974
2019-11-26,Ratnagiri,2229.68,201.4,477.94,587.85,137.38,26.41,2.24,10.12,2.13,35.68,7.88,8.39,1014.76,2.344
2019-02-12,Thane,3515.26,447.06,449.28,232.22,148.05,26.12,2.4,8.27,9.3,34.81,5.92,7.69,1014.7,2.497
2019-03-12,Sindhudurg,2170.55,163.83,80.25,724.21,377.96,31.04,2.18,8.49,9.38,33.65,5.8,8.22,1011.99,1.11
2019-08-12,Raigad,2839.99,1030.15,625.21,633.53,297.95,27.12,1.15,4.76,5.33,35.65,6.4,7.61,1014.66,2.394
2019-09-12,Sindhudurg,2930.96,188.7,143.01,301.73,148.01,30.42,3.18,9.38,8.74,36.0,7.33,8.18,1014.21,2.023
2019-10-12,Ratnagiri,1764.61,1043.95,244.23,489.85,640.6,27.96,3.09,9.68,12.46,36.21,6.43,8.44,1013.88,1.203
2019-12-27,Sindhudurg,3618.06,1076.1,299.38,396.73,527.32,31.89,3.64,4.05,14.91,36.08,5.12,7.89,1009.27,1.301
2020-01-23,Sindhudurg,1723.39,465.87,379.11,301.69,175.02,24.38,3.75,10.54,14.09,33.64,6.61,8.03,1009.32,2.024
2020-01-25,Sindhudurg,4564.67,648.33,74.56,52.37,146.83,31.13,2.11,8.86,12.37,34.25,5.92,8.32,1014.04,0.733
2020-03-02,Raigad,3651.47,520.23,639.78,186.3,236.64,24.09,2.84,6.06,2.42,33.05,7.27,7.77,1008.4,1.703
2020-05-02,Raigad,4098.7,744.03,535.59,529.99,333.69,29.76,0.96,9.62,12.96,36.39,6.97,8.34,1006.66,0.75
2020-02-16,Sindhudurg,2742.81,1146.94,494.47,546.61,468.63,30.24,1.06,8.63,3.59,35.57,7.23,7.72,1006.49,1.502
2020-02-28,Ratnagiri,1578.69,1126.79,457.35,509.5,400.35,25.08,2.76,9.06,12.26,35.19,6.93,8.15,1006.74,2.134
2020-04-03,Ratnagiri,1926.91,319.87,143.37,571.1,681.21,28.15,1.76,8.64,4.69,36.81,5.94,8.28,1006.33,1.054
2020-10-03,Raigad,559.02,840.34,219.5,252.42,448.72,26.73,2.69,7.8,5.12,34.1,5.85,8.19,1009.76,0.996
2020-03-17,Thane,932.78,317.47,402.17,208.47,358.6,30.41,3.51,8.09,7.1,35.05,5.74,8.09,1011.01,1.899
2020-03-19,Raigad,4653.18,741.73,90.43,318.71,659.39,26.67,1.81,5.14,7.07,36.66,6.87,7.6,1006.92,0.947
2020-03-26,Sindhudurg,4514.92,770.88,312.01,588.86,336.46,28.72,3.31,7.1,8.42,33.64,7.28,8.04,1013.3,1.721
2020-12-04,Raigad,1021.21,940.55,987.23,630.91,416.78,27.52,3.61,11.17,11.33,33.85,5.83,8.17,1013.67,1.152
2020-04-16,Mumbai,4411.66,364.09,818.99,637.04,668.75,31.4,0.85,11.56,14.69,34.06,5.99,7.71,1014.18,0.801
2020-04-17,Ratnagiri,2864.54,125.08,336.04,192.82,355.39,25.1,3.63,3.92,13.85,34.65,5.08,8.17,1006.71,2.134
2020-04-26,Ratnagiri,2163.24,438.74,770.72,659.14,513.64,28.48,3.27,3.27,4.53,34.07,5.31,7.9,1005.97,1.514
2020-01-05,Sindhudurg,1281.36,746.59,490.55,233.98,545.3,26.38,0.87,8.46,2.92,33.75,5.27,7.53,1008.73,1.723
2020-07-05,Palghar,2966.73,1043.58,583.85,537.6,568.98,31.84,1.93,6.85,2.17,36.03,6.72,7.7,1009.12,1.622
2020-08-05,Mumbai,4037.54,1157.48,242.63,425.17,253.54,25.51,0.65,9.47,10.95,34.09,5.78,7.99,1009.31,2.323
2020-05-22,Raigad,4934.21,431.15,418.12,420.21,482.79,30.48,2.79,9.0,12.63,35.32,7.42,8.34,1008.98,1.474
2020-05-24,Mumbai,2334.91,713.71,339.09,124.8,267.43,26.09,1.87,6.76,13.37,33.66,6.73,8.44,1014.05,0.518
2020-07-06,Mumbai,2079.08,512.52,66.44,426.06,399.24,26.51,3.6,7.17,10.73,33.41,5.13,7.54,1007.95,2.34
2020-06-18,Ratnagiri,4783.3,992.52,76.83,236.12,371.55,27.44,2.51,7.89,5.36,34.86,6.54,8.11,1012.57,1.74
2020-06-19,Sindhudurg,4935.81,564.02,167.0,431.33,70.51,25.25,1.91,11.93,7.07,35.92,7.66,8.38,1007.46,0.791
2020-06-26,Raigad,1967.36,260.95,576.42,264.09,470.28,29.62,0.98,7.26,4.47,36.38,5.07,8.22,1013.01,1.67
2020-10-07,Raigad,3055.92,917.57,472.42,567.93,101.26,31.61,2.12,4.55,8.24,33.18,7.26,8.32,1014.44,1.947
2020-07-13,Sindhudurg,2328.6,112.48,331.34,49.77,101.66,24.76,2.78,9.06,12.04,36.02,5.85,8.31,1014.59,1.022
2020-07-27,Thane,2717.27,106.31,562.12,505.29,358.91,24.72,1.33,4.15,13.44,36.37,5.98,8.26,1007.74,1.205
2020-07-30,Raigad,1067.3,546.87,52.21,461.74,112.1,26.4,2.05,4.1,2.22,35.84,6.83,8.49,1008.29,1.228
2020-08-26,Raigad,2127.62,154.51,462.83,638.65,525.68,28.59,0.51,4.0,5.78,33.7,5.56,8.06,1013.86,1.478
2020-08-30,Raigad,1879.2,710.05,413.78,438.3,450.91,31.52,2.09,7.13,10.3,35.32,5.73,7.77,1013.73,1.906
2020-04-09,Thane,3091.64,704.64,952.21,284.19,114.1,25.66,1.5,9.2,3.44,34.39,6.47,8.2,1008.08,1.904
2020-06-09,Mumbai,2385.8,277.62,604.52,594.94,483.5,25.32,3.02,4.44,7.4,36.82,7.3,7.86,1013.68,1.346
2020-07-09,Raigad,3985.93,963.24,471.85,558.6,318.09,31.26,2.19,3.2,7.74,36.57,5.8,7.66,1005.48,1.098
2020-11-09,Ratnagiri,4971.28,265.9,372.11,557.91,381.95,25.78,2.66,5.89,9.78,36.1,7.41,8.27,1007.34,0.781
2020-09-18,Thane,4471.41,628.49,483.39,754.27,54.24,24.97,1.17,10.76,14.5,36.32,7.83,7.85,1011.48,1.839
2020-09-21,Thane,1703.91,807.39,816.73,371.19,376.12,26.6,2.12,10.34,6.31,34.03,6.61,7.74,1008.47,2.437
2020-09-25,Mumbai,2475.24,262.04,638.17,157.6,277.46,28.22,2.04,4.98,12.99,34.6,5.58,8.14,1012.36,1.607
2020-03-10,Raigad,2712.48,526.47,199.31,443.02,303.48,29.71,2.64,11.55,6.16,33.07,6.62,8.08,1012.45,1.73
2020-07-10,Raigad,4024.6,797.52,391.87,679.1,467.28,29.65,2.18,11.02,11.09,35.08,5.84,8.29,1012.13,2.287
2020-08-10,Mumbai,4759.96,136.82,168.19,191.46,237.77,26.11,2.82,10.67,11.22,35.6,7.5,8.37,1008.06,1.016
2020-10-10,Ratnagiri,2253.09,1199.16,980.75,120.45,369.41,28.6,3.25,6.75,10.82,33.63,6.97,7.92,1010.93,2.476
2020-10-16,Sindhudurg,4765.18,905.03,801.37,536.63,239.92,27.26,1.7,4.31,11.74,35.8,7.78,8.36,1011.6,1.289
2020-10-24,Palghar,1291.87,901.69,670.12,217.11,65.92,30.06,2.32,7.79,3.79,36.16,5.99,8.31,1011.73,2.136
2020-10-25,Mumbai,1157.06,594.6,858.04,591.41,162.29,28.58,3.05,3.62,14.8,35.35,5.04,7.99,1011.76,2.262
2020-05-11,Palghar,4741.57,205.03,548.07,447.53,27.93,26.78,2.09,5.6,10.47,35.88,7.35,7.98,1008.44,2.135
2020-06-11,Ratnagiri,3149.98,713.41,411.8,727.08,525.86,31.28,3.81,3.47,3.41,36.28,6.2,7.8,1009.14,1.432
2020-08-11,Raigad,3746.44,580.63,403.03,611.28,576.37,31.83,2.65,3.09,4.8,33.11,6.33,8.15,1009.58,0.651
2020-09-11,Ratnagiri,1619.94,1077.47,735.62,255.01,434.15,26.78,3.72,7.28,2.42,35.46,6.22,8.23,1013.75,2.369
2020-11-13,Palghar,2862.63,135.07,942.33,370.67,424.65,25.79,3.72,7.86,14.71,33.28,7.09,7.56,1011.79,1.368
2020-11-14,Mumbai,1859.32,1056.64,730.0,595.4,605.8,27.67,3.13,7.05,6.86,35.24,7.66,7.62,1013.85,2.246
2020-11-25,Mumbai,3028.31,713.24,319.13,388.76,553.73,28.23,2.54,9.23,4.34,34.02,5.48,8.43,1011.93,0.598
2020-11-30,Ratnagiri,3353.91,332.25,767.39,693.73,390.83,30.66,2.41,3.92,2.63,33.24,6.4,8.33,1014.33,2.147
2020-01-12,Ratnagiri,3027.64,834.48,673.69,664.25,321.31,28.16,1.9,10.89,7.38,34.06,7.48,7.89,1010.53,1.072
2020-04-12,Sindhudurg,3211.87,970.96,532.19,420.84,156.43,28.33,2.57,10.51,13.15,35.03,7.97,8.29,1006.68,2.183
2020-11-12,Palghar,3277.97,989.75,791.46,302.18,577.39,28.71,0.51,10.59,11.95,35.59,6.55,7.53,1014.17,1.521
2020-12-15,Raigad,2076.72,719.25,346.41,744.74,648.12,24.2,1.78,7.7,7.83,34.67,5.71,7.58,1009.48,0.627
2020-12-23,Raigad,3619.44,113.4,89.81,414.55,334.47,31.55,1.48,5.34,6.18,34.89,5.33,8.25,1012.59,0.919
2020-12-26,Mumbai,4512.07,472.72,804.25,678.44,142.06,25.47,1.56,7.22,8.13,33.5,7.64,7.87,1008.55,1.699
2021-03-01,Ratnagiri,4228.34,944.88,472.62,475.82,644.86,27.63,2.01,5.85,7.85,34.0,6.12,8.31,1007.3,1.563
2021-08-01,Palghar,1834.6,1035.16,434.2,574.15,315.95,28.84,2.72,6.0,7.63,35.21,6.56,7.75,1013.54,1.784
2021-09-01,Palghar,670.48,993.2,269.0,387.4,85.66,25.4,1.51,9.73,10.07,35.57,6.64,7.63,1013.65,1.098
2021-11-01,Palghar,3704.02,994.94,271.54,437.81,571.11,24.82,1.64,4.76,4.95,34.69,5.07,7.89,1008.8,1.303
2021-01-18,Raigad,3891.82,1075.49,418.38,361.28,426.01,29.26,3.96,9.49,4.13,35.27,5.04,7.7,1012.83,2.02
2021-02-18,Ratnagiri,4162.89,1120.24,595.43,447.46,35.79,24.28,0.79,6.15,14.19,35.22,5.01,7.6,1010.4,1.1
2021-02-03,Mumbai,510.52,865.82,645.54,607.77,33.51,28.8,2.91,9.08,10.78,33.3,7.29,8.18,1005.86,0.67
2021-03-16,Ratnagiri,4068.34,821.37,359.56,405.74,508.5,25.51,1.85,7.02,10.97,36.54,5.96,7.63,1013.37,0.515
2021-03-21,Raigad,2623.95,1124.53,73.24,121.27,529.96,31.02,3.45,10.58,4.26,35.11,7.92,8.08,1010.06,2.463
2021-03-25,Mumbai,4942.76,1096.34,279.06,457.62,48.83,31.74,3.82,10.35,5.39,35.78,7.27,7.86,1013.1,0.699
2021-02-04,Raigad,2885.08,403.29,556.6,356.99,416.24,24.71,3.87,10.34,14.59,33.11,5.27,8.48,1013.92,1.542
2021-04-04,Ratnagiri,3641.6,266.9,786.12,750.64,681.44,25.94,0.98,6.93,9.23,33.22,6.15,7.64,1014.45,0.897
2021-10-04,Thane,4704.3,188.13,927.34,139.38,218.76,29.36,1.69,6.88,2.39,35.26,7.09,7.97,1009.99,1.409
2021-04-16,Sindhudurg,4445.11,868.52,803.34,239.51,450.59,26.5,0.59,8.7,6.86,34.54,7.43,8.37,1008.16,2.279
2021-04-22,Raigad,4233.43,1132.66,831.89,433.01,177.07,30.73,1.59,11.11,14.17,35.25,7.75,7.75,1013.63,1.06
2021-04-27,Sindhudurg,4718.11,326.29,169.13,36.2,167.55,24.46,3.6,9.3,7.36,35.92,7.51,8.07,1012.32,2.16
2021-05-05,Raigad,3962.11,1067.91,989.04,568.81,253.22,24.71,2.28,4.74,6.83,33.98,5.57,7.87,1014.55,1.186
2021-08-05,Palghar,3785.78,320.24,526.76,568.14,149.92,30.91,3.67,5.65,3.0,35.9,5.83,7.54,1005.29,1.165
2021-09-05,Ratnagiri,3086.94,653.37,412.09,108.75,637.69,29.63,2.65,4.47,9.54,35.5,7.81,8.31,1007.22,1.576
2021-05-14,Thane,2222.53,1198.58,407.09,174.4,379.32,27.9,2.94,10.31,11.64,33.1,6.53,7.88,1009.11,0.811
2021-05-15,Palghar,4578.91,800.7,905.73,117.83,95.06,24.23,3.36,4.0,4.26,36.98,6.42,8.07,1005.09,1.002
2021-05-24,Thane,2085.36,466.7,936.86,311.72,136.68,27.68,1.66,7.47,10.3,33.66,7.52,7.74,1007.9,1.916
2021-05-25,Thane,1294.56,1188.76,709.63,688.92,104.15,28.67,2.48,5.7,13.11,36.56,5.26,8.32,1005.14,1.38
2021-05-28,Palghar,4925.7,1060.79,628.8,313.84,698.86,26.33,3.8,10.58,5.32,33.4,6.37,7.8,1009.16,1.94
2021-09-06,Raigad,1789.63,1128.89,836.87,149.43,325.93,28.53,1.93,11.57,4.39,36.8,6.89,7.82,1010.9,2.463
2021-10-06,Palghar,1350.49,776.25,133.48,39.08,280.56,28.39,1.69,5.33,3.66,35.44,5.33,7.83,1010.39,0.77
2021-12-06,Mumbai,3910.38,1156.83,746.31,691.36,496.87,26.89,3.88,10.15,3.96,36.19,5.81,8.06,1011.08,1.072
2021-06-21,Ratnagiri,1940.04,600.7,690.43,94.4,667.19,30.0,1.47,10.07,9.73,35.95,7.67,8.31,1014.0,1.487
2021-06-26,Thane,4897.22,107.29,512.46,654.75,667.08,26.75,2.31,11.51,14.3,34.44,6.43,7.81,1013.44,0.552
2021-09-07,Palghar,4206.23,627.02,167.44,204.39,152.53,25.61,2.03,10.22,3.52,33.98,7.68,8.37,1007.22,1.992
2021-12-07,Palghar,1250.3,357.39,62.93,292.42,112.69,29.64,1.13,11.28,10.55,36.64,6.85,7.65,1005.14,1.182
2021-07-21,Thane,933.79,832.73,710.31,606.65,464.36,24.91,2.94,7.74,10.42,33.71,6.44,7.59,1012.77,0.97
2021-07-27,Palghar,4526.93,1021.08,210.24,217.59,125.56,31.9,3.15,3.93,4.46,35.39,6.98,7.98,1011.98,0.525
2021-07-29,Mumbai,2080.16,930.35,319.97,350.0,101.91,26.59,0.68,9.7,13.71,34.01,7.86,7.68,1006.12,0.909
2021-09-08,Mumbai,2527.48,784.27,152.65,101.26,259.8,31.09,0.82,5.71,12.01,33.91,6.04,8.38,1009.28,0.565
2021-10-08,Sindhudurg,4025.86,1190.48,420.9,268.22,21.83,24.43,2.49,8.04,5.27,36.72,6.39,8.23,1010.03,1.383
2021-08-24,Sindhudurg,4947.23,457.79,596.96,428.88,273.09,25.23,1.23,4.7,7.98,35.64,7.97,8.37,1006.73,1.472
2021-01-09,Palghar,2169.16,390.9,804.31,590.09,255.34,30.92,3.49,5.05,13.89,34.06,7.28,8.09,1009.11,0.673
2021-10-09,Ratnagiri,669.79,135.6,588.04,153.61,165.3,24.46,2.64,4.46,5.62,33.12,7.03,8.34,1011.8,1.051
2021-12-09,Mumbai,3980.8,1097.47,87.33,285.18,346.73,26.76,1.9,6.63,2.35,35.87,5.97,8.04,1008.83,1.174
2021-09-27,Raigad,3647.09,658.47,909.58,604.69,92.49,29.17,1.7,4.51,11.37,34.59,6.98,7.74,1010.25,2.494
2021-09-10,Sindhudurg,4431.14,189.61,388.5,46.26,111.9,31.49,0.69,4.54,13.54,34.47,6.81,7.73,1008.21,0.674
2021-12-10,Thane,1778.97,128.16,621.1,368.37,467.88,30.91,2.1,3.03,2.17,35.12,5.92,8.01,1005.42,1.615
2021-10-13,Mumbai,1046.39,989.08,265.98,205.49,385.3,25.52,3.15,11.41,9.07,35.2,5.65,7.9,1011.14,1.493
2021-10-21,Palghar,1716.02,608.95,772.84,255.17,26.93,28.26,3.86,10.98,14.81,35.18,6.29,7.75,1008.62,0.504
2021-10-31,Palghar,1263.05,415.35,765.73,743.64,188.23,28.25,0.67,5.74,7.65,33.94,5.15,7.64,1008.01,0.741
2021-01-11,Sindhudurg,3529.18,501.48,943.26,333.74,610.67,27.0,3.96,8.07,10.46,34.22,5.52,7.84,1010.56,2.447
2021-11-11,Sindhudurg,3010.57,958.67,811.52,518.28,448.67,29.05,2.53,7.82,10.63,34.8,7.78,8.33,1011.73,0.767
2021-11-17,Mumbai,1493.41,582.95,499.51,171.93,382.14,26.43,3.82,3.65,2.07,36.65,5.28,8.29,1006.52,1.999
2021-11-28,Sindhudurg,3359.84,490.98,576.98,251.05,418.85,31.5,0.76,5.05,13.59,36.46,6.31,8.41,1007.94,1.828
2021-05-12,Palghar,1251.75,849.94,546.37,265.33,261.06,26.33,3.93,5.17,3.75,35.34,7.48,8.44,1014.28,0.586
2021-12-15,Ratnagiri,1223.12,705.3,576.01,761.55,188.9,30.41,1.94,5.67,14.77,35.37,5.42,7.67,1013.64,0.755
2021-12-18,Raigad,4008.69,134.47,708.77,275.01,654.57,28.39,0.89,4.52,12.0,35.89,7.95,7.77,1005.12,2.366
2021-12-19,Mumbai,2547.94,423.09,368.85,169.67,357.57,29.88,3.01,4.9,13.44,35.63,7.21,7.87,1008.55,0.564
2021-12-21,Sindhudurg,1592.68,701.76,781.69,281.23,106.02,28.48,0.86,5.93,10.11,36.37,5.86,7.84,1011.88,2.406
2021-12-28,Raigad,1516.33,969.01,650.68,652.35,241.03,27.52,3.87,6.07,11.27,33.02,7.37,7.54,1012.49,2.12
2022-10-01,Mumbai,3105.66,732.0,639.46,664.53,475.14,28.41,3.94,7.86,10.6,34.3,7.8,8.47,1010.92,2.236
2022-12-01,Thane,4208.8,972.49,989.66,370.98,639.5,26.78,1.63,10.99,6.09,36.42,7.79,8.21,1007.81,1.135
2022-01-13,Thane,2355.35,728.29,161.61,510.98,662.04,26.9,2.3,4.15,11.81,35.79,6.95,8.46,1009.01,1.148
2022-01-20,Ratnagiri,1393.71,460.28,375.69,114.3,313.27,28.66,2.06,8.74,14.04,36.12,7.07,8.28,1011.04,2.296
2022-01-25,Ratnagiri,802.15,430.85,944.2,428.15,228.48,24.95,2.89,10.73,10.28,35.49,6.45,8.49,1009.96,1.402
2022-01-30,Sindhudurg,518.2,853.47,582.71,290.88,276.38,31.54,2.15,4.93,6.46,33.6,7.7,7.62,1011.7,1.755
2022-04-02,Mumbai,2300.51,691.54,989.95,756.89,327.53,26.54,3.79,7.94,5.81,33.86,5.25,7.78,1014.12,2.31
2022-02-13,Mumbai,2556.31,571.22,84.77,394.09,233.1,31.83,3.07,10.56,5.62,34.8,5.81,7.64,1010.77,0.708
2022-02-14,Sindhudurg,4808.86,801.77,76.03,481.42,560.77,29.78,1.75,8.37,7.01,33.71,5.05,7.98,1011.62,2.311
2022-02-21,Thane,599.01,900.78,994.1,568.47,474.87,25.87,2.78,3.71,7.59,35.21,7.91,8.07,1008.26,1.652
2022-11-03,Raigad,1265.53,316.09,608.41,63.84,530.1,31.09,0.73,8.38,5.05,36.47,6.48,8.48,1006.59,1.005
2022-03-26,Raigad,1664.64,1045.8,368.33,246.66,344.47,30.45,1.26,9.83,3.74,34.04,6.07,8.4,1012.23,0.748
2022-03-28,Palghar,2819.52,608.43,610.13,522.6,636.7,24.63,3.49,10.22,8.64,35.87,5.27,8.08,1010.99,0.588
2022-03-29,Ratnagiri,4352.23,1044.29,420.29,85.54,180.07,30.65,2.17,5.08,6.32,36.2,5.96,8.2,1009.71,1.362
2022-03-04,Raigad,3387.29,1195.54,488.14,244.76,418.5,26.45,3.49,4.36,5.2,34.96,5.79,8.05,1010.21,1.823
2022-06-04,Ratnagiri,2478.97,515.28,286.85,642.14,360.32,31.28,1.94,10.12,7.78,35.05,6.41,8.01,1013.32,1.176
